Feature,ClassA,ClassB,N_A,N_B,Mean_A,Mean_B,Median_A,Median_B,MannWhitney_p,CohenD,CliffsDelta,FDR_q,AbsCliffsDelta,AbsCohenD
VMD_Reconstructed_PS_LogVolume__median,0,1,7,8,1.3065545733685335,2.71327543091091,1.4908362747313544,2.81299300887691,0.028904428904428903,-1.349099106666536,-0.6785714285714286,0.2592639683548774,0.6785714285714286,1.349099106666536
VMD_Mode4_PS_LogVolume__iqr,0,1,7,8,2.0036696002744305,3.037345691192507,1.839781881350788,2.890533759936786,0.028904428904428903,-1.3468596721806838,-0.6785714285714286,0.2592639683548774,0.6785714285714286,1.3468596721806838
Pressure_Clean_Kurtosis__iqr,0,1,7,8,3.813344155968845,7.11675363468278,3.377424764306556,6.157452499282015,0.028904428904428903,-1.2710592132677794,-0.6785714285714286,0.2592639683548774,0.6785714285714286,1.2710592132677794
Pressure_Clean_Kurtosis__std,0,1,7,8,4.053042977930744,6.7796334370522215,3.711140200930312,6.797091010856281,0.028904428904428903,-1.2365344875850335,-0.6785714285714286,0.2592639683548774,0.6785714285714286,1.2365344875850335
VMD_Reconstructed_PS_TrajectoryLength__iqr,0,1,7,8,73.37065265018289,135.2585086763448,66.9804602683025,119.01043701823963,0.028904428904428903,-1.2294144472250483,-0.6785714285714286,0.2592639683548774,0.6785714285714286,1.2294144472250483
Pressure_Clean_Min__std,0,1,7,8,0.6759027296406164,0.9397418884840172,0.7190861072324476,0.9354276290477169,0.028904428904428903,-1.1914981462356242,-0.6785714285714286,0.2592639683548774,0.6785714285714286,1.1914981462356242
VMD_Mode3_Median__median,0,1,7,8,-0.003327124066225329,-0.0011601074412370125,-0.0037952114183519,-0.0010357417180669498,0.028904428904428903,-1.162394113045895,-0.6785714285714286,0.2592639683548774,0.6785714285714286,1.162394113045895
Pressure_Clean_Diff_MAD__iqr,0,1,7,8,0.09749462182026283,0.05873236855560515,0.1090140889473944,0.062262582646811795,0.028904428904428903,1.1484006274427527,0.6785714285714286,0.2592639683548774,0.6785714285714286,1.1484006274427527
VMD_Mode4_PS_StepStd__std,0,1,7,8,0.318028344909162,1.186259194552462,0.2735769207648271,0.5522375797992736,0.028904428904428903,-0.8018117434610197,-0.6785714285714286,0.2592639683548774,0.6785714285714286,0.8018117434610197
VMD_Reconstructed_PS_Eig1__iqr,0,1,7,8,3.600018435999703,12.534388433715275,4.284060527241284,7.674834435922762,0.028904428904428903,-0.7522349536615718,-0.6785714285714286,0.2592639683548774,0.6785714285714286,0.7522349536615718
VMD_Mode3_PS_Eig2__std,0,1,7,8,2.1225998672942548,48.1286535834928,1.5003238009045197,7.23643890454178,0.028904428904428903,-0.6385762839349864,-0.6785714285714286,0.2592639683548774,0.6785714285714286,0.6385762839349864
VMD_Mode3_Diff_MAD__median,0,1,7,8,0.05342934180831444,0.03106362087037769,0.0494545825335287,0.0255900530403314,0.04009324009324009,1.452602252859202,0.6428571428571429,0.275990675990676,0.6428571428571429,1.452602252859202
VMD_Reconstructed_Kurtosis__iqr,0,1,7,8,3.1602537449835606,6.388351177894668,2.97971153674016,6.74511890167241,0.04009324009324009,-1.3888786610606216,-0.6428571428571429,0.275990675990676,0.6428571428571429,1.3888786610606216
VMD_Reconstructed_IQR__mean,0,1,7,8,0.9003316384911362,0.5537078196909735,0.7909615985046964,0.5332985542513942,0.04009324009324009,1.3830557046109082,0.6428571428571429,0.275990675990676,0.6428571428571429,1.3830557046109082
VMD_Reconstructed_PS_TrajectoryLength__std,0,1,7,8,73.23456301574593,132.01711581017042,62.148651824916456,135.91254885443533,0.04009324009324009,-1.3263163483421498,-0.6428571428571429,0.275990675990676,0.6428571428571429,1.3263163483421498
Pressure_Clean_Min__iqr,0,1,7,8,0.8606668375777389,1.3808369296767111,0.7717450520891163,1.3136476265322727,0.04009324009324009,-1.2193380056661902,-0.6428571428571429,0.275990675990676,0.6428571428571429,1.2193380056661902
Pressure_Clean_PS_EigRatio12__iqr,0,1,7,8,0.998817643594659,1.8081720716064842,0.9787278796442044,1.8148978284680795,0.04009324009324009,-1.2116545293755165,-0.6428571428571429,0.275990675990676,0.6428571428571429,1.2116545293755165
VMD_Mode4_PermEn__std,0,1,7,8,0.012481024196513485,0.01819901151922195,0.0104548242542833,0.018146213057293997,0.04009324009324009,-1.1860613727602096,-0.6428571428571429,0.275990675990676,0.6428571428571429,1.1860613727602096
VMD_Mode4_PS_StepStd__iqr,0,1,7,8,0.27172011442860733,0.5071359361621629,0.2322612462572909,0.42804672664712806,0.04009324009324009,-1.1526734010318227,-0.6428571428571429,0.275990675990676,0.6428571428571429,1.1526734010318227
VMD_Mode4_RQA_epsilon__std,0,1,7,8,0.08573123075531663,0.1172667744152099,0.0773970049232011,0.11843010382504204,0.04009324009324009,-1.1359601197549196,-0.6428571428571429,0.275990675990676,0.6428571428571429,1.1359601197549196
VMD_Reconstructed_PS_LogVolume__mean,0,1,7,8,2.0162980917225672,3.606447152713523,1.939596897362572,3.394582751815987,0.04009324009324009,-1.111907679086821,-0.6428571428571429,0.275990675990676,0.6428571428571429,1.111907679086821
VMD_Reconstructed_EmbeddingDim__std,0,1,7,8,0.7256775849642406,0.8887339422166782,0.666910144512214,0.8411693579160346,0.04009324009324009,-1.0637174308987636,-0.6428571428571429,0.275990675990676,0.6428571428571429,1.0637174308987636
VMD_Reconstructed_PS_StateSpread__iqr,0,1,7,8,1.1379933225306111,2.2946455585699432,1.1459421361702202,2.284525257253048,0.04009324009324009,-1.0370932121160685,-0.6428571428571429,0.275990675990676,0.6428571428571429,1.0370932121160685
VMD_Mode4_PS_MeanStep__iqr,0,1,7,8,0.17598399219868716,0.296986499904627,0.1595784564206014,0.23074218022243081,0.04009324009324009,-1.0213639775566774,-0.6428571428571429,0.275990675990676,0.6428571428571429,1.0213639775566774
VMD_Mode4_ApproxLLE__std,0,1,7,8,0.0128906221210209,0.014435004532699112,0.0134310795559712,0.0147106664574961,0.04009324009324009,-1.0053605429472279,-0.6428571428571429,0.275990675990676,0.6428571428571429,1.0053605429472279
VMD_Mode4_PS_TrajectoryLength__iqr,0,1,7,8,51.24641299373395,85.764189565065,46.75648773123618,66.96421853087011,0.04009324009324009,-0.9866380309387637,-0.6428571428571429,0.275990675990676,0.6428571428571429,0.9866380309387637
Pressure_Clean_RQA_LAM__iqr,0,1,7,8,0.11412841005953551,0.18809498484847792,0.0969357931126753,0.16044531061762118,0.04009324009324009,-0.9702087039715538,-0.6428571428571429,0.275990675990676,0.6428571428571429,0.9702087039715538
