EventID,StartTime,EndTime,Duration_s,ReferenceSignal,TargetSignal,Reference_PeakAmplitude,Target_PeakAmplitude,PeakPreservationRatio,Reference_Area,Target_Area,AreaPreservationRatio,ShapeCorrelation,Shape_NRMSE,ArtifactRatioInEvent,RangeAbnormalRatioInEvent
53,56624.82999995922,56639.229999959185,14.399999999965075,Pressure_RangeFixed,Pressure_Preclean,4.011869547156124,4.011869547156124,0.9999999997507396,31.02894278958027,31.02894278958027,0.999999999967772,1.0,0.0,0.0,0.0
54,56790.42999995882,56812.029999958766,21.599999999947613,Pressure_RangeFixed,Pressure_Preclean,0.5738163262964093,0.5738163262964093,0.9999999982572821,10.622995456218431,10.622995456218431,0.9999999999058646,1.0,0.0,0.0,0.0
55,57018.429999958265,57022.02999995826,3.599999999991269,Pressure_RangeFixed,Pressure_Preclean,2.064495659904793,2.064495659904793,0.9999999995156201,6.822772806755964,6.822772806755964,0.999999999853432,1.0,0.0,0.0,0.0
56,57046.0299999582,57050.82999995819,4.7999999999883585,Pressure_RangeFixed,Pressure_Preclean,2.170678285297498,2.170678285297498,0.9999999995393145,6.5046118361671645,6.5046118361671645,0.9999999998462629,1.0,0.0,0.0,0.0
57,57137.22999995798,57143.22999995796,5.999999999985448,Pressure_RangeFixed,Pressure_Preclean,0.6903859755663859,0.6903859755663859,0.999999998551535,3.3466249005831545,3.3466249005831545,0.9999999997011915,1.0,0.0,0.0,0.0
58,57149.22999995795,57158.829999957925,9.599999999976717,Pressure_RangeFixed,Pressure_Preclean,2.6337105245815025,2.6337105245815025,0.9999999996203075,19.609702150741864,19.609702150741864,0.9999999999490048,1.0,0.0,0.0,0.0
59,57478.02999995715,57488.829999957125,10.799999999973807,Pressure_RangeFixed,Pressure_Preclean,1.7539999952630865,1.7539999952630865,0.9999999994298745,10.780555380341948,10.780555380341948,0.9999999999072404,0.9999999999999999,0.0,0.0,0.0
60,57557.22999995696,57572.82999995692,15.599999999962165,Pressure_RangeFixed,Pressure_Preclean,5.719000000000008,5.719000000000008,0.9999999998251442,58.50138138841388,58.50138138841388,0.9999999999829065,1.0,0.0,0.0,0.0
61,57595.629999956866,57611.22999995683,15.599999999962165,Pressure_RangeFixed,Pressure_Preclean,7.860347837720184,7.860347837720184,0.9999999998727792,85.9945813120628,85.9945813120628,0.9999999999883713,0.9999999999999998,0.0,0.0,0.0
62,57649.629999956735,57660.42999995671,10.799999999973807,Pressure_RangeFixed,Pressure_Preclean,7.749245614224904,7.749245614224904,0.9999999998709552,51.08759277431461,51.08759277431461,0.9999999999804259,1.0,0.0,0.0,0.0
63,57749.22999995649,57763.62999995646,14.399999999965075,Pressure_RangeFixed,Pressure_Preclean,3.5790000000000077,3.5790000000000077,0.9999999997205923,34.711326605739934,34.711326605739934,0.999999999971191,1.0,0.0,0.0,0.0
65,58009.62999995586,58028.829999955815,19.199999999953434,Pressure_RangeFixed,Pressure_Preclean,4.9285526229385965,4.9285526229385965,0.9999999997971006,55.69371422596541,55.69371422596541,0.9999999999820447,1.0,0.0,0.0,0.0
66,58064.82999995573,58096.02999995565,31.19999999992433,Pressure_RangeFixed,Pressure_Preclean,7.381973918781071,7.381973918781071,0.9999999998645349,104.05067936742648,104.05067936742648,0.9999999999903892,1.0,0.0,0.0,0.0
67,58103.229999955634,58108.02999995562,4.7999999999883585,Pressure_RangeFixed,Pressure_Preclean,6.1155087717352075,6.1155087717352075,0.9999999998364812,24.155305149280696,25.07638943839071,1.0381317595608726,0.9438488398503961,0.17139335960739124,0.0,0.0
68,58189.629999955425,58206.429999955384,16.799999999959255,Pressure_RangeFixed,Pressure_Preclean,8.43265213594563,8.43265213594563,0.9999999998814133,99.9953645410698,99.9953645410698,0.9999999999899996,0.9999999999999998,0.0,0.0,0.0
69,58211.22999995537,58218.429999955355,7.199999999982538,Pressure_RangeFixed,Pressure_Preclean,6.566947382518066,6.566947382518066,0.9999999998477223,35.8439347457471,35.8439347457471,0.9999999999721014,1.0,0.0,0.0,0.0
70,58373.22999995498,58385.22999995495,11.999999999970896,Pressure_RangeFixed,Pressure_Preclean,8.369894717565387,8.369894717565387,0.9999999998805241,70.38879118767376,70.38879118767376,0.9999999999857931,1.0,0.0,0.0,0.0
